headline,date,doc_type,material_type,section,keywords
Key Dates at the Center of the Ukraine Matter,2019-11-12,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'United States International Relations', 'Ethics and Official Misconduct', 'Foreign Aid', 'Impeachment']"
"Europe Is Toughest on Big Tech, Yet Big Tech Still Reigns",2019-11-11,article,News,,"['Computers and the Internet', 'Antitrust Laws and Competition Issues', 'Search Engines', 'Fines (Penalties)', 'Regulation and Deregulation of Industry', 'Shopping and Retail', 'E-Commerce']"
How Ludwig Goransson Became Directors’ Secret Musical Weapon,2019-11-11,article,News,,"['Movies', 'Music']"
"DealBook: U.S. Companies, Ranked by What Americans Value",2019-11-12,article,News,,[]
"New York’s Jails Are Failing. Is the Answer 3,600 Miles Away?",2019-11-12,article,News,,"['Criminal Justice', 'Prisons and Prisoners']"
"Where Civility Is a Motto, a School Integration Fight Turns Bitter",2019-11-12,article,News,,"['Education (K-12)', 'Segregation and Desegregation', 'Race and Ethnicity', 'Discrimination', 'Minorities', 'Redistricting and Reapportionment']"
The Internet Dream Became a Nightmare. What Will Become of It Now?,2019-11-13,multimedia,Interactive Feature,,"['Computers and the Internet', 'Social Media', 'E-Commerce']"
We’re Stuck With the Tech Giants. But They’re Stuck With Each Other.,2019-11-13,multimedia,Interactive Feature,,"['Computers and the Internet', 'Data-Mining and Database Marketing', 'Privacy']"
Alison Roman Cooks Thanksgiving in a (Very) Small Kitchen,2019-11-12,multimedia,Interactive Feature,,"['Cooking and Cookbooks', 'Parties (Social)', 'Kitchens', 'Thanksgiving Day']"
The Impeachment Inquiry’s Main Players,2019-11-12,multimedia,Interactive Feature,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
"Your Streaming Guide, in 6 Easy Questions",2019-11-11,multimedia,Interactive Feature,,"['Video Recordings, Downloads and Streaming']"
The 50 Best Things to Watch on Disney+ Right Now,2019-11-12,multimedia,Interactive Feature,,"['Movies', 'Television']"
Even Nobodies Have Fans Now. (For Better or Worse.),2019-11-13,multimedia,Interactive Feature,,"['Podcasts', 'Computers and the Internet', 'Social Media']"
"Online Cesspool Got You Down? You Can Clean It Up, For a Price",2019-11-13,multimedia,Interactive Feature,,"['Computers and the Internet', 'Online Advertising', 'Privacy', 'Data-Mining and Database Marketing', 'E-Commerce']"
What Do Teenagers Learn Online Today? That Identity Is a Work in Progress,2019-11-13,multimedia,Interactive Feature,,"['Computers and the Internet', 'Cosmetics and Toiletries', 'Teenagers and Adolescence', 'Social Media']"
Full Video and Analysis of Day 1 of Impeachment Hearing Testimony,2019-11-13,multimedia,Interactive Feature,,"['United States Politics and Government', 'Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
China’s Internet Is Flowering. And It Might Be Our Future.,2019-11-13,multimedia,Interactive Feature,,"['Mobile Applications', 'Computers and the Internet', 'Mobile Commerce and Payments', 'E-Commerce']"
"In New Hampshire, Even Getting on the Ballot Has a Tradition",2019-11-13,multimedia,Interactive Feature,,[]
Finding Truth Online Is Hard Enough. Censors Make It a Labyrinth.,2019-11-13,multimedia,Interactive Feature,,"['Censorship', 'Computers and the Internet', 'Social Media']"
"Weekly News Quiz for Students: Elections, Vaping, Gaming Regulations",2019-11-12,multimedia,Interactive Feature,,[]
Exploring the Streets of Echo Park,2019-11-12,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
What You Get for $4.5 Million in California,2019-11-11,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
From Japan to Peru to Greenwich Village,2019-11-12,multimedia,Slideshow,,['Restaurants']
"Living In ... Hawthorne, N.Y.",2019-11-13,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
Beachfront Tranquility on the Kenyan Coast,2019-11-13,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"Tina Turner, Oprah Winfrey and Whoopi Goldberg at ‘Tina’ Opening on Broadway",2019-11-13,multimedia,Slideshow,,[]
"What You Get for $550,000",2019-11-13,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
ExxonMobil + IBM Cloud,2019-11-11,multimedia,Video,,['ADVERTISING AND MARKETING']
Trump Impeachment Hearings Highlights,2019-11-13,multimedia,Video,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Impeachment', 'United States Defense and Military Forces']"
Trump Says Trade Deal With China ‘Could Happen Soon’,2019-11-12,multimedia,Video,,"['United States Economy', 'International Trade and World Market', 'Economic Conditions and Trends']"
Extreme Cold Weather and Snow Hits U.S.,2019-11-12,multimedia,Video,,"['Snow and Snowstorms', 'Weather']"
Is It ‘Key-EV’ or ‘KEEV’? The 2 Ways to Pronounce Ukraine’s Capital,2019-11-13,multimedia,Video,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Impeachment']"
‘She’s Powerless’: Video Shows New York Police Officers Detaining Food Vendor,2019-11-11,multimedia,Video,,"['Video Recordings, Downloads and Streaming', 'Subways', 'Food Trucks and Vendors']"
‘Democracy Doesn’t Come in a Box’,2019-11-11,multimedia,Video,,"['United States Defense and Military Forces', 'Veterans', 'Afghanistan War (2001- )', 'Civilian Casualties', 'Terrorism']"
‘Ford v Ferrari’ Review: It’s a Gas,2019-11-14,article,Review,,['Movies']
Notre Dame’s Football Sellout Streak Ending at 273 Games,2019-11-14,article,News,,[]
Key Takeaways From Marie Yovanovitch’s Hearing in the Impeachment Inquiry,2019-11-15,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
Disney Channels the Force,2019-11-15,article,Op-Ed,,"['Television', 'Video Recordings, Downloads and Streaming']"
"To Make This Tofu, Start by Burning Toxic Plastic",2019-11-14,article,News,,"['Waste Materials and Disposal', 'Plastics', 'Hazardous and Toxic Substances', 'Dioxin', 'Tofu', 'Food Contamination and Poisoning']"
A ‘Circus’ or an ‘Education’: How Impeachment Is Playing on the Radio,2019-11-14,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Radio', 'Impeachment', 'United States Politics and Government']"
Doing Tiny Jobs for Tinier Pay,2019-11-15,article,News,,"['Labor and Jobs', 'Computers and the Internet']"
Comedian Hospitalized for Depression. Hilarity Ensues.,2019-11-14,article,Op-Ed,,"['Comedy and Humor', 'Anxiety and Stress', 'Depression (Mental)', 'Mental Health and Disorders']"
‘SpongeBob’ Spinoff Highlights Netflix-Nickelodeon Deal,2019-11-13,article,News,,"['SpongeBob SquarePants (Cartoon Character)', 'Video Recordings, Downloads and Streaming', 'Television']"
18 Art Exhibitions to View in N.Y.C. This Weekend,2019-11-14,article,News,,"['Art', 'Museums']"
‘Scandalous’ Review: Riches From a Supermarket Rag,2019-11-14,article,Review,,['Documentary Films and Programs']
"Boris Johnson, Hong Kong, Syria: Your Friday Briefing",2019-11-15,article,briefing,,[]
One Thing We Can Do: Balance Our Energy Demand,2019-11-13,article,News,,['Global Warming']
Cases of Cognac and Liqueur Recovered From 1917 Shipwreck,2019-11-14,article,News,,"['ALCOHOLIC BEVERAGES', 'Shipwrecks (Historic)']"
‘Baby Shark’ Smells Money Onstage,2019-11-14,article,News,,"['Video Recordings, Downloads and Streaming', 'Music', 'Copyrights and Copyright Violations', 'Counterfeit Merchandise', 'Trademarks and Trade Names', 'Intellectual Property']"
Round Trip With the King of Pop Art,2019-11-15,article,News,,['Books and Literature']
County Clerks Revolt Over N.Y. Licenses for Undocumented Immigrants,2019-11-14,article,News,,"['Law and Legislation', 'Drivers Licenses', 'Illegal Immigration', 'Politics and Government', 'Suits and Litigation (Civil)']"
"Degas: A Superfan at the Opera, Where Art Tips Into Obsession",2019-11-15,article,News,,['Art']
Wait — Are You a Tree?,2019-11-15,article,News,,"['Computer and Video Games', 'your-feed-selfcare']"
Subzero Interest Rates Are Luring Insurers to Risk,2019-11-13,article,News,,"['Insurance', 'Banking and Financial Institutions', 'Credit and Debt', 'Interest Rates', 'Government Bonds', 'Collateralized Debt Obligations']"
Review: ‘The Crown’ and the Burdens of a No-Drama Queen,2019-11-14,article,Review,,['Television']
"Carol Brightman, 80, Dies; Profiled a Notable Writer and a Notable Band",2019-11-15,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Writing and Writers', 'Pop and Rock Music']"
Scooters Everywhere,2019-11-14,article,News,,[]
ISIS Suspect Trapped at Turkish-Greek Border Is to Be Deported to U.S.,2019-11-14,article,News,,"['Defense and Military Forces', 'Politics and Government', 'Terrorism']"
"Jim Sullivan, a Rock ’n’ Roll Mystery That Remains Stubbornly Unsolved",2019-11-14,article,News,,"['Folk Music', 'Pop and Rock Music', 'Missing Persons']"
"In Data Journalism, Tech Matters Less Than the People",2019-11-13,article,News,,"['Computers and the Internet', 'News and News Media', 'Statistics', 'Data-Mining and Database Marketing']"
Browns’ Myles Garrett Suspended Indefinitely for Hitting Mason Rudolph With Helmet,2019-11-15,article,News,,"['Football', 'Fines (Penalties)', 'Helmets', 'Sports Injuries', 'Assaults']"
Jeffrey Epstein’s Estate May Set Up a Program to Pay Accusers,2019-11-13,article,News,,"['Wills and Estates', 'Suits and Litigation (Civil)', 'Human Trafficking', 'Sex Crimes']"
He Invited Donald Trump Jr. to Campus. Now He’s Facing Impeachment.,2019-11-14,article,News,,"['United States Politics and Government', 'Impeachment']"
Art and Wild Salmon,2019-11-15,article,News,,"['Parties (Social)', 'Philanthropy']"
"CMA Awards 2019: 5 Key Moments, From Kacey Musgraves to Kris Kristofferson",2019-11-14,article,News,,"['Country Music', 'COUNTRY MUSIC ASSN AWARDS']"
Deciphering ADOS: A New Social Movement or Online Trolls?,2019-11-13,article,News,,"['American Descendants of Slavery', 'Reparations', 'Primaries and Caucuses', 'Immigration and Emigration', 'Blacks', 'Black People']"
"As a Mountain Biking Motivator, Add a Little Electronic Assist",2019-11-13,article,News,,"['Bicycles and Bicycling', 'Exercise', 'Cycling, Mountain Bike']"
A Different Porzingis Returns to New York,2019-11-13,article,News,,['Basketball']
Tensions Over Genres and Generations Linger at Latin Grammys,2019-11-15,article,News,,"['Latin Grammy Awards', 'Music']"
Here Are the Key Members to Watch on the House Intelligence Committee,2019-11-13,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Ethics and Official Misconduct']"
DealBook: Trump Says Business Leaders ‘Have No Choice’ but to Vote for Him,2019-11-13,article,News,,"['United States Economy', 'International Trade and World Market']"
A Closet Republican,2019-11-14,article,Letter,,['United States Politics and Government']
"Carl’s Jr.’s Marketing Plan: Pitch Burgers, Not Sex",2019-11-13,article,News,,"['ADVERTISING AND MARKETING', 'Fast Food Industry']"
Shame on Us for Getting Used to Trump,2019-11-14,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'United States International Relations', 'Impeachment', 'Rumors and Misinformation']"
Steelers’ Defense Could Punish Baker Mayfield and the Browns,2019-11-14,article,News,,['Football']
Emails Outline Anti-Immigration Group’s Connection to Stephen Miller,2019-11-15,article,News,,"['Immigration and Emigration', 'Terrorism']"
Qatar Faces a Tight Squeeze for Its Compact World Cup,2019-11-14,article,News,,"['Soccer', 'World Cup 2022 (Soccer)']"
Can FaZe Clan Build a Billion-Dollar Business?,2019-11-15,article,News,,"['E-Sports', 'Computer and Video Games', 'Computers and the Internet', 'Social Media', 'E-Commerce']"
Donald Trump Jr. Airs Family Grievances (One Book at a Time),2019-11-13,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'Books and Literature']"
"Peas, Socks and Sidewalk-Trash Sculptures: Just Keep Looking",2019-11-14,article,Review,,"['Art', 'Sculpture']"
James Holzhauer and Emma Boettcher Will Square Off Again on ‘Jeopardy!’,2019-11-13,article,News,,['Television']
How These Niche Stores Are Surviving the Retail Apocalypse,2019-11-15,article,News,,"['Shopping and Retail', 'Collectors and Collections', 'Pens and Pencils', 'Computer and Video Games']"
What’s the Takeaway From the First Impeachment Hearing?,2019-11-14,article,Op-Ed,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend",2019-11-14,article,News,,"['Pop and Rock Music', 'Jazz']"
Alcohol Was an Escape. Now He Is Living on His Own Terms.,2019-11-13,article,News,,[]
Deval Patrick Makes a Late Bid in the 2020 Presidential Campaign,2019-11-14,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government']"
"Dr. Wayne Bardin, 85, Innovative Researcher on Birth Control, Dies",2019-11-14,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Birth Control and Family Planning', 'Abortion Drugs', 'Research', 'Drugs (Pharmaceuticals)']"
Luxury for Less: The Travel Advisor Gambit,2019-11-15,article,News,,"['Travel and Vacations', 'Luxury Goods and Services', 'Travel Agencies and Agents', 'Hotels and Travel Lodgings', 'Spas', 'Credit Cards', 'Cruises']"
The Work Diary of an Audio Erotica C.E.O.,2019-11-15,article,News,,"['Podcasts', 'Sex', 'Start-ups', 'Venture Capital', 'Mobile Applications', 'Workplace Environment']"
Bryan Brothers Will Retire From Tennis After 2020 U.S. Open,2019-11-14,article,News,,['Tennis']
"Trump and the Military: A Dysfunctional Marriage, but They Stay Together",2019-11-14,article,News,,['United States Defense and Military Forces']
Read William Taylor’s Prepared Opening Statement From the Impeachment Hearing,2019-11-13,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations']"
Trump Clears Three Service Members in War Crimes Cases,2019-11-15,article,News,,"['United States Defense and Military Forces', 'Murders, Attempted Murders and Homicides', 'Amnesties, Commutations and Pardons', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'United States Politics and Government']"
Salon Accused of Bias Will Be Taught to Style Black Hair,2019-11-13,article,News,,"['Discrimination', 'Race and Ethnicity', 'Hair', 'Blacks', 'Black People', 'Workplace Hazards and Violations', 'Beauty Salons']"
"The Shortcut to Crisp, Tender Pie Crust",2019-11-15,article,News,,"['Cooking and Cookbooks', 'Pies']"
Apocalypse Got You Down? Maybe This Will Help,2019-11-15,article,News Analysis,,"['Sustainable Living', 'Greenhouse Gas Emissions', 'Buddhism', 'Empathy', 'Global Warming', 'Depression (Mental)']"
Germany Narrowly Avoids Recession as Trade Tensions Ease,2019-11-14,article,News,,"['International Trade and World Market', 'Recession and Depression', 'Gross National Product (GNP)', 'Great Britain Withdrawal from EU (Brexit)']"
Big Clay Court Event,2019-11-14,article,News,,['Crossword Puzzles']
Available: A 415-Acre Island With Manhattan Views. What to Build?,2019-11-15,article,News,,"['Prisons and Prisoners', 'Area Planning and Renewal', 'Solar Energy', 'Alternative and Renewable Energy', 'AIRPORTS', 'Affordable Housing']"
The Best-Picture Race Has Begun. Could One of These Films Win?,2019-11-13,article,News,,"['Movies', 'Academy Awards (Oscars)']"
Student Kills 2 at California High School,2019-11-14,article,News,,"['School Shootings and Armed Attacks', 'Santa Clarita, Calif, Shooting (2019)']"
4 Film Series to Catch in N.Y.C. This Weekend,2019-11-14,article,News,,['Movies']
New York Identifies Hospitals and Nursing Homes With Deadly Fungus,2019-11-13,article,News,,"['Drug resistance (Microbial)', 'Candida Auris (Fungus)', 'ANTIBIOTICS', 'Infections', 'Hospitals', 'Nursing Homes', 'Medicine and Health', 'States (US)', 'Deaths (Fatalities)']"
Jimmy Carter Recovering After Surgery,2019-11-13,article,News,,"['Presidents and Presidency (US)', 'United States Politics and Government']"
Multiple Lawmakers Under Investigation Over Ethical Misconduct,2019-11-15,article,News,,"['United States Politics and Government', 'Campaign Finance', 'Ethics and Official Misconduct']"
Impeachment Hearings Schedule: What’s Coming Up,2019-11-15,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations', 'United States Politics and Government', 'Impeachment']"
"World Energy Report, Impeachment Hearings, Turkey: Your Wednesday Briefing",2019-11-13,article,briefing,,[]
"For 16 Transgender Hockey Players, a Groundbreaking Weekend",2019-11-15,article,News,,"['Transgender and Transsexuals', 'Hockey, Ice']"
‘Waves’ Review: The Shattering Ebb and Flow of Family Life,2019-11-14,article,Review,,['Movies']
South Korea Resists U.S. Pressure to Improve Ties With Japan,2019-11-15,article,News,,"['United States International Relations', 'Defense and Military Forces', 'International Trade and World Market']"
Jane Austen Has Left the Building — and So Have Dickens and Waugh,2019-11-15,article,Review,,['Books and Literature']
Should the Week Be Four Days Instead of Five?,2019-11-13,article,News,,[]
Climate Change Poses Threats to Children’s Health Worldwide,2019-11-13,article,News,,"['Global Warming', 'Greenhouse Gas Emissions', 'Medicine and Health', 'Children and Childhood', 'AIR POLLUTION', 'Wildfires', 'Respiratory Diseases']"
The Only Show in Trump Town,2019-11-14,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'United States International Relations']"
"Carmelo Anthony Is Coming Back, as a Portland Trail Blazer",2019-11-15,article,News,,['Basketball']
How Darren Criss Overcame His Fear of Gym Bros,2019-11-13,article,News,,"['Sleep', 'Exercise', 'Face', 'Shaving and Shavers']"
Who Is George Kent? Official Who Described Trump’s Actions as ‘Wrong for the Rule of Law’,2019-11-13,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
Republican National Committee to Hold Meeting at Trump Doral Resort,2019-11-14,article,News,,"['United States Politics and Government', 'Conflicts of Interest', 'Hotels and Travel Lodgings']"
Taylor Swift Escalates Battle With Scooter Braun and Big Machine,2019-11-15,article,News,,"['Pop and Rock Music', 'Social Media', 'AMERICAN MUSIC AWARDS', 'Copyrights and Copyright Violations']"
7 Things to Do With Your Kids in N.Y.C. This Weekend,2019-11-14,article,News,,['Children and Childhood']
"A Tale of an ‘Irregular Channel,’ Playing on Many Channels",2019-11-13,article,News,,"['Television', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Politics and Government', 'News and News Media']"
My 13-Year-Old Likes Sexy Clothes. What Can I Say That Won’t Shame Her?,2019-11-14,article,News,,"['Teenagers and Adolescence', 'Parenting', 'Fashion and Apparel', 'Women and Girls', 'Sex']"
The Secrets of Erin Morgenstern’s Success: Say No to the Internet. Say Yes to Video Games.,2019-11-15,article,List,,['Books and Literature']
"Infants and Toddlers Eat Too Much Sugar, Researchers Say",2019-11-14,article,News,,"['Sugar', 'Diet and Nutrition', 'Baby Foods', 'Artificial Sweeteners', 'Obesity', 'Corn Syrup and Sweeteners']"
Homes for Sale in Brooklyn and Manhattan,2019-11-14,article,News,,['Real Estate and Housing (Residential)']
She Hung Nooses on Halloween. What Happened Next Was Surprising.,2019-11-15,article,News,,"['Blacks', 'Black People', 'Discrimination', 'Race and Ethnicity', 'Gentrification', 'Halloween', 'Lynching']"
It Was Obvious from Day 1,2019-11-15,article,News,,"['Love (Emotion)', 'Marriages']"
The Basics of Caring for Your Sneakers,2019-11-15,article,News,,"['Shoes and Boots', 'Sneakers', 'Cleansers, Detergents and Soaps']"
Deval Patrick Will Enter 2020 Presidential Race on Thursday,2019-11-13,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
Apple’s Reach Reshapes Medical Research,2019-11-14,article,News,,"['Research', 'Medicine and Health', 'Wearable Computing', 'Exercise', 'Electronic Health Records']"
Putin and Zelensky to Meet for First Time Over Ukraine Conflict,2019-11-15,article,News,,[]
Make Way for the Carnal Clowns of Stand-Up,2019-11-15,article,News,,"['Theater', 'Clowns', 'Comedy and Humor']"
The Supreme Court May Let Trump End DACA. Here’s What the Public Thinks About It.,2019-11-15,article,News,,"['Polls and Public Opinion', 'Immigration and Emigration', 'Deferred Action for Childhood Arrivals']"
"Compelling Testimony, but No Minds Changed So Far",2019-11-14,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Foreign Aid']"
An Ideal Witness for the Democrats,2019-11-14,article,News,,"['Impeachment', 'Whistle-Blowers', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
Is There Room for One More Candidate?,2019-11-14,article,News,,['Presidential Election of 2020']
How Did Plants Conquer Land? These Humble Algae Hold Clues,2019-11-14,article,News,,"['ALGAE', 'Genetics and Heredity', 'Bacteria', 'Biology and Biochemistry', 'Evolution (Biology)', 'Flowers and Plants', 'your-feed-science']"
"Cheeseburgers, Oil and Minimum Wage: Building a Museum of Capitalism",2019-11-13,article,News,,"['Museums', 'Capitalism (Theory and Philosophy)']"
Supreme Court to Hear Google and Oracle Copyright Case,2019-11-15,article,News,,"['Computers and the Internet', 'Copyrights and Copyright Violations', 'Android (Operating System)', 'Smartphones']"
"Carrie Saxon Perry, Barrier-Breaking Mayor, Dies at 87",2019-11-15,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Mayors', 'Blacks', 'Black People', 'Civil Rights and Liberties']"
"At Howard University, Homecoming Is a Pilgrimage",2019-11-15,article,News,,"['Fraternities and Sororities', 'Colleges and Universities', 'Blacks', 'Black People', 'Historically Black Colleges and Universities']"
Amazon Protesting Pentagon’s $10 Billion JEDI Contract,2019-11-14,article,News,,"['Government Contracts and Procurement', 'Cloud Computing', 'Computers and the Internet', 'Defense Contracts']"
An Artist Who Makes Absurdist Paintings in a Former Church,2019-11-14,article,News,,"['Art', 'Restoration and Renovation']"
Manafort’s 2016 Gambit: A Back Channel From Trump Camp to Labor,2019-11-13,article,News,,"['Presidential Election of 2016', 'Organized Labor']"
A Native Tribe Wants to Resume Whaling. Whale Defenders Are Divided.,2019-11-14,article,News,,"['Whales and Whaling', 'Native Americans', 'Hunting and Trapping', 'Animal Abuse, Rights and Welfare']"
"In Strike That Killed 5 Children, Israel Said It Took Out Gaza Militant. Now It Isn’t Sure.",2019-11-15,article,News,,"['Defense and Military Forces', 'Civilian Casualties', 'Palestinians', 'Deaths (Fatalities)']"
Bishop Named by Pope to Investigate Abuse Is Accused Himself,2019-11-13,article,News,,"['Sex Crimes', 'Priests', 'Child Abuse and Neglect']"
And Now the Easy Part: Selecting Thanksgiving Wines,2019-11-14,article,News,,"['Wines', 'Thanksgiving Day']"
Film Club: ‘Mumbai’s Midnight Gardeners’,2019-11-14,article,News,,[]
Jeffrey Epstein’s Estate Turns to Experts to Pay Accusers,2019-11-14,article,News,,"['Child Abuse and Neglect', 'Sex Crimes', 'Prostitution', 'Human Trafficking', 'Reparations', 'Wills and Estates', 'Suits and Litigation (Civil)']"
"In Struggle Over Parthenon Marbles, Greece Gets Unexpected Ally: Xi Jinping",2019-11-13,article,News,,"['Politics and Government', 'Arts and Antiquities Looting', 'Museums', 'Parthenon (Greece)', 'Elgin Marbles']"
A Trustee Leaves Trove of Old Masters Works to the Met,2019-11-13,article,News,,"['Art', 'Finances', 'Gifts', 'Museums']"
"Behind a Star Witness, Democrats Take Their Impeachment Case to the Public",2019-11-14,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'United States International Relations', 'United States Politics and Government']"
New in Paperback: ‘Vietnam’ and ‘Upstream’,2019-11-15,article,List,,['Books and Literature']
James Holzhauer Beats Emma Boettcher in ‘Jeopardy!’ Rematch,2019-11-15,article,News,,"['Television', 'Contests and Prizes']"
Word + Quiz: sartorial,2019-11-14,article,News,,[]
"The T List: What to Wear, Read and Try This Week",2019-11-13,article,News,,"['Fashion and Apparel', 'Candles', 'Photography', 'Hair', 'Art']"
"Blueprints for 3-D Printed Guns Cannot Be Posted Online, Judge Says",2019-11-13,article,News,,"['Firearms', 'Gun Control', 'United States Politics and Government', 'Decisions and Verdicts']"
"For Auctions, It’s ‘No Froth,’ but ‘Steady.’ That’s the New Normal.",2019-11-15,article,News,,"['Art', 'Auctions', 'Finances', 'Prices (Fares, Fees and Rates)']"
"Impeachment, Deval Patrick, Venice Flooding: Your Thursday Briefing",2019-11-14,article,briefing,,[]
Stephen Colbert Was Feeling Merry on Impeachment Eve,2019-11-13,article,News,,[]
"On Capitol Hill, Old-School Washington Keeps Circus at Bay",2019-11-14,article,News,,"['United States Politics and Government', 'Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
Another of Alberto Salazar’s Runners Says He Ridiculed Her Body for Years,2019-11-14,article,News,,"['Coaches and Managers', 'Weight', 'Running', 'Track and Field', 'Women and Girls', 'Discrimination']"
The Warriors Are in Last Place. You Read That Right.,2019-11-13,article,News,,"['Basketball', 'Coaches and Managers', 'Sports Injuries']"
"Two Impeachments, but Two Radically Different Accusations",2019-11-13,article,News,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
Late Night Serves Hot Takes After First Public Impeachment Hearings,2019-11-14,article,News,,[]
"Behind Closed Doors in Washington, Here’s What Colleges Fight For",2019-11-15,article,News,,"['Colleges and Universities', 'ACCREDITATION', 'Lobbying and Lobbyists', 'Student Loans']"
Elizabeth Warren Hits Back at Billionaires in New Ad for Wealth Tax,2019-11-13,article,News,,"['High Net Worth Individuals', 'Presidential Election of 2020', 'Political Advertising', 'United States Politics and Government']"
‘Atlantics’ Review: Haunted by Ghosts and Injustice in Senegal,2019-11-14,article,Review,,"['Cannes International Film Festival', 'Movies']"
"The Playlist: Billie Eilish’s Bittersweet Dream, and 9 More New Songs",2019-11-15,article,News,,"['Pop and Rock Music', 'Jazz', 'Rap and Hip-Hop']"
The Impeachment Questions We Were Afraid to Ask,2019-11-15,article,News,,"['Podcasts', 'Newsletters']"
"Man in Sex Kidnapping Case Had Zip Ties and Ropes, U.S. Says",2019-11-15,article,News,,"['Prostitution', 'Women and Girls', 'Murders, Attempted Murders and Homicides', 'Serial Murders', 'Kidnapping and Hostages', 'Human Trafficking', 'Sex Crimes']"
Read George Kent’s Prepared Opening Statement From the Impeachment Hearing,2019-11-13,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations']"
Review: Bauschian Mortal Themes With a Light Touch,2019-11-15,article,Review,,['Dancing']
Carnival Projectiles,2019-11-13,article,News,,['Crossword Puzzles']
Why It Is So Hard to Figure Out What to Eat,2019-11-13,article,Op-Ed,,"['Diet and Nutrition', 'Clinical Trials', 'Research']"
Trump Attack on Envoy During Testimony Raises Charges of Witness Intimidation,2019-11-15,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
Arkady Renko Has Been Sent to Siberia. And He’s Fine With That.,2019-11-15,article,News,,['Books and Literature']
"Justice Dept. Unveils Gun Plan, Sidestepping a Preoccupied Washington",2019-11-13,article,News,,"['Gun Control', 'Firearms', 'Mass Shootings', 'United States Politics and Government', 'Crime and Criminals']"
She Grew Up on a Remote Italian Island. Then Came the Holocaust.,2019-11-15,article,News,,['Jews and Judaism']
Are Algorithms Sexist?,2019-11-15,article,News,,[]
He’s Never Going to Put Away That Shirt,2019-11-15,article,News,,"['Love (Emotion)', 'Marriages', 'Fashion and Apparel']"
The President Bursts Through the Virtual Courtroom Doors,2019-11-15,article,Review,,"['Television', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'United States Politics and Government']"
"Before Joining White House, Stephen Miller Pushed White Nationalist Theories",2019-11-14,article,News,,"['Immigration and Emigration', 'United States Politics and Government', 'Fringe Groups and Movements', 'Hate Crimes', 'Discrimination', 'Race and Ethnicity', 'Whites']"
Bread Loaf Ends ‘Wait Scholar’ Program,2019-11-14,article,News,,"['Waiters and Waitresses', 'Books and Literature', 'Colleges and Universities', 'Writing and Writers', 'Scholarships and Fellowships', 'Race and Ethnicity', 'Sexual Harassment']"
